freq_MHz,alpha_dBmm_eta0.5,c_phase_eta0.5,alpha_dBmm_eta2.0,c_phase_eta2.0,alpha_dBmm_eta10.0,c_phase_eta10.0,alpha_dBmm_eta50.0,c_phase_eta50.0
10.328657,-2234.563990,252.2193,-1117.346570,504.4678,-499.700277,1128.0416,-223.473446,2522.3854
10.426854,-2245.162692,253.4156,-1122.645616,506.8602,-502.070046,1133.3912,-224.533236,2534.3475
10.525050,-2255.711595,254.6063,-1127.919767,509.2414,-504.428683,1138.7157,-225.588047,2546.2533
10.623246,-2266.211395,255.7914,-1133.169371,511.6116,-506.776341,1144.0153,-226.637949,2558.1037
10.721443,-2276.662771,256.9711,-1138.394767,513.9707,-509.113175,1149.2906,-227.683009,2569.8995
10.819639,-2287.066388,258.1453,-1143.596287,516.3192,-511.439331,1154.5417,-228.723295,2581.6414
10.917836,-2297.422893,259.3143,-1148.774255,518.6570,-513.754954,1159.7691,-229.758870,2593.3301
11.016032,-2307.732922,260.4780,-1153.928988,520.9843,-516.060188,1164.9730,-230.789799,2604.9664
11.114228,-2317.997093,261.6366,-1159.060797,523.3012,-518.355170,1170.1538,-231.816143,2616.5510
11.212425,-2328.216015,262.7900,-1164.169985,525.6079,-520.640035,1175.3117,-232.837963,2628.0844
11.310621,-2338.390280,263.9384,-1169.256848,527.9046,-522.914917,1180.4472,-233.855318,2639.5675
11.408818,-2348.520468,265.0818,-1174.321675,530.1913,-525.179945,1185.5603,-234.868267,2651.0008
11.507014,-2358.607147,266.2203,-1179.364752,532.4682,-527.435247,1190.6515,-235.876866,2662.3851
11.605210,-2368.650874,267.3539,-1184.386356,534.7354,-529.680945,1195.7210,-236.881170,2673.7208
11.703407,-2378.652192,268.4828,-1189.386759,536.9930,-531.917163,1200.7691,-237.881234,2685.0087
11.801603,-2388.611634,269.6069,-1194.366227,539.2412,-534.144018,1205.7961,-238.877111,2696.2494
11.899800,-2398.529721,270.7264,-1199.325021,541.4800,-536.361629,1210.8022,-239.868854,2707.4434
11.997996,-2408.406966,271.8413,-1204.263396,543.7096,-538.570108,1215.7877,-240.856513,2718.5913
12.096192,-2418.243867,272.9516,-1209.181603,545.9301,-540.769568,1220.7529,-241.840139,2729.6936
12.194389,-2428.040915,274.0574,-1214.079887,548.1416,-542.960118,1225.6979,-242.819780,2740.7510
12.292585,-2437.798592,275.1588,-1218.958487,550.3442,-545.141866,1230.6231,-243.795485,2751.7640
12.390782,-2447.517367,276.2557,-1223.817640,552.5381,-547.314917,1235.5286,-244.767301,2762.7330
12.488978,-2457.197702,277.3484,-1228.657575,554.7233,-549.479374,1240.4147,-245.735273,2773.6587
12.587174,-2466.840051,278.4367,-1233.478520,556.8999,-551.635339,1245.2817,-246.699447,2784.5415
12.685371,-2476.444856,279.5208,-1238.280695,559.0680,-553.782910,1250.1297,-247.659868,2795.3820
12.783567,-2486.012552,280.6008,-1243.064319,561.2277,-555.922185,1254.9590,-248.616578,2806.1805
12.881764,-2495.543568,281.6765,-1247.829605,563.3792,-558.053259,1259.7697,-249.569621,2816.9377
12.979960,-2505.038320,282.7482,-1252.576762,565.5225,-560.176226,1264.5622,-250.519039,2827.6539
13.078156,-2514.497221,283.8159,-1257.305996,567.6577,-562.291178,1269.3366,-251.464872,2838.3297
13.176353,-2523.920672,284.8795,-1262.017507,569.7848,-564.398205,1274.0930,-252.407160,2848.9655
13.274549,-2533.309071,285.9392,-1266.711495,571.9041,-566.497394,1278.8318,-253.345944,2859.5617
13.372745,-2542.662804,286.9950,-1271.388152,574.0156,-568.588834,1283.5531,-254.281262,2870.1188
13.470942,-2551.982254,288.0469,-1276.047669,576.1193,-570.672609,1288.2571,-255.213152,2880.6373
13.569138,-2561.267793,289.0950,-1280.690234,578.2153,-572.748802,1292.9440,-256.141652,2891.1174
13.667335,-2570.519791,290.1392,-1285.316030,580.3038,-574.817497,1297.6139,-257.066798,2901.5597
13.765531,-2579.738608,291.1798,-1289.925238,582.3848,-576.878774,1302.2671,-257.988627,2911.9645
13.863727,-2588.924598,292.2166,-1294.518034,584.4584,-578.932711,1306.9038,-258.907174,2922.3323
13.961924,-2598.078109,293.2498,-1299.094594,586.5247,-580.979387,1311.5240,-259.822473,2932.6635
14.060120,-2607.199483,294.2794,-1303.655087,588.5837,-583.018878,1316.1280,-260.734559,2942.9584
14.158317,-2616.289058,295.3053,-1308.199681,590.6355,-585.051260,1320.7160,-261.643466,2953.2174
14.256513,-2625.347162,296.3277,-1312.728543,592.6802,-587.076606,1325.2881,-262.549226,2963.4409
14.354709,-2634.374121,297.3466,-1317.241834,594.7179,-589.094989,1329.8444,-263.451872,2973.6292
14.452906,-2643.370253,298.3620,-1321.739714,596.7487,-591.106479,1334.3853,-264.351436,2983.7827
14.551102,-2652.335873,299.3740,-1326.222339,598.7725,-593.111148,1338.9107,-265.247949,2993.9018
14.649299,-2661.271288,300.3825,-1330.689864,600.7895,-595.109064,1343.4208,-266.141443,3003.9869
14.747495,-2670.176803,301.3877,-1335.142441,602.7998,-597.100296,1347.9159,-267.031946,3014.0381
14.845691,-2679.052714,302.3896,-1339.580217,604.8034,-599.084908,1352.3961,-267.919490,3024.0560
14.943888,-2687.899316,303.3881,-1344.003341,606.8004,-601.062968,1356.8614,-268.804104,3034.0408
15.042084,-2696.716896,304.3833,-1348.411956,608.7908,-603.034540,1361.3121,-269.685815,3043.9928
