freq_MHz,alpha_dBmm_eta0.5,c_phase_eta0.5,alpha_dBmm_eta2.0,c_phase_eta2.0,alpha_dBmm_eta10.0,c_phase_eta10.0,alpha_dBmm_eta50.0,c_phase_eta50.0
28.789579,-3730.868829,421.1099,-1865.473089,842.2374,-834.269540,1883.3104,-373.097093,4211.2147
28.887776,-3737.226446,421.8275,-1868.651832,843.6725,-835.691109,1886.5195,-373.732837,4218.3905
28.985972,-3743.573265,422.5439,-1871.825176,845.1052,-837.110264,1889.7232,-374.367502,4225.5541
29.084168,-3749.909343,423.2591,-1874.993150,846.5355,-838.527017,1892.9214,-375.001093,4232.7055
29.182365,-3756.234733,423.9730,-1878.155780,847.9634,-839.941380,1896.1142,-375.633614,4239.8449
29.280561,-3762.549488,424.6858,-1881.313094,849.3889,-841.353366,1899.3017,-376.265073,4246.9723
29.378758,-3768.853664,425.3974,-1884.465117,850.8120,-842.762986,1902.4838,-376.895474,4254.0877
29.476954,-3775.147312,426.1077,-1887.611877,852.2327,-844.170253,1905.6606,-377.524822,4261.1913
29.575150,-3781.430485,426.8169,-1890.753400,853.6511,-845.575177,1908.8322,-378.153122,4268.2830
29.673347,-3787.703236,427.5250,-1893.889713,855.0671,-846.977771,1911.9984,-378.780380,4275.3630
29.771543,-3793.965615,428.2318,-1897.020839,856.4808,-848.378046,1915.1595,-379.406602,4282.4313
29.869739,-3800.217675,428.9375,-1900.146807,857.8921,-849.776013,1918.3153,-380.031791,4289.4879
29.967936,-3806.459466,429.6420,-1903.267640,859.3011,-851.171685,1921.4659,-380.655954,4296.5330
30.066132,-3812.691038,430.3454,-1906.383364,860.7078,-852.565072,1924.6114,-381.279095,4303.5665
30.164329,-3818.912442,431.0476,-1909.494004,862.1122,-853.956185,1927.7517,-381.901219,4310.5885
30.262525,-3825.123727,431.7487,-1912.599585,863.5144,-855.345036,1930.8870,-382.522331,4317.5991
30.360721,-3831.324942,432.4486,-1915.700132,864.9142,-856.731635,1934.0171,-383.142437,4324.5983
30.458918,-3837.516137,433.1474,-1918.795668,866.3118,-858.115994,1937.1423,-383.761540,4331.5863
30.557114,-3843.697359,433.8451,-1921.886219,867.7072,-859.498123,1940.2623,-384.379646,4338.5630
30.655311,-3849.868656,434.5417,-1924.971808,869.1003,-860.878033,1943.3774,-384.996760,4345.5284
30.753507,-3856.030078,435.2371,-1928.052458,870.4911,-862.255735,1946.4875,-385.612886,4352.4828
30.851703,-3862.181669,435.9315,-1931.128195,871.8798,-863.631239,1949.5926,-386.228030,4359.4260
30.949900,-3868.323478,436.6247,-1934.199040,873.2663,-865.004555,1952.6927,-386.842195,4366.3582
31.048096,-3874.455551,437.3168,-1937.265017,874.6505,-866.375695,1955.7880,-387.455387,4373.2794
31.146293,-3880.577935,438.0079,-1940.326150,876.0326,-867.744668,1958.8784,-388.067610,4380.1897
31.244489,-3886.690674,438.6978,-1943.382461,877.4124,-869.111485,1961.9639,-388.678868,4387.0891
31.342685,-3892.793814,439.3867,-1946.433973,878.7902,-870.476156,1965.0445,-389.289167,4393.9776
31.440882,-3898.887401,440.0745,-1949.480709,880.1657,-871.838691,1968.1204,-389.898510,4400.8554
31.539078,-3904.971479,440.7612,-1952.522690,881.5391,-873.199099,1971.1914,-390.506903,4407.7224
31.637275,-3911.046093,441.4469,-1955.559940,882.9104,-874.557392,1974.2577,-391.114349,4414.5788
31.735471,-3917.111286,442.1315,-1958.592479,884.2796,-875.913578,1977.3192,-391.720853,4421.4245
31.833667,-3923.167103,442.8150,-1961.620331,885.6466,-877.267667,1980.3759,-392.326420,4428.2596
31.931864,-3929.213586,443.4975,-1964.643516,887.0115,-878.619670,1983.4280,-392.931053,4435.0842
32.030060,-3935.250779,444.1789,-1967.662056,888.3744,-879.969595,1986.4754,-393.534758,4441.8984
32.128257,-3941.278724,444.8593,-1970.675972,889.7351,-881.317453,1989.5181,-394.137537,4448.7020
32.226453,-3947.297463,445.5386,-1973.685286,891.0938,-882.663252,1992.5561,-394.739397,4455.4953
32.324649,-3953.307040,446.2170,-1976.690019,892.4504,-884.007003,1995.5896,-395.340340,4462.2783
32.422846,-3959.307495,446.8942,-1979.690191,893.8049,-885.348714,1998.6184,-395.940370,4469.0510
32.521042,-3965.298870,447.5705,-1982.685823,895.1574,-886.688395,2001.6426,-396.539493,4475.8134
32.619238,-3971.281206,448.2457,-1985.676936,896.5079,-888.026055,2004.6623,-397.137713,4482.5656
32.717435,-3977.254543,448.9200,-1988.663551,897.8563,-889.361703,2007.6775,-397.735032,4489.3076
32.815631,-3983.218923,449.5932,-1991.645686,899.2027,-890.695348,2010.6881,-398.331456,4496.0396
32.913828,-3989.174385,450.2654,-1994.623363,900.5471,-892.026999,2013.6942,-398.926987,4502.7614
33.012024,-3995.120970,450.9366,-1997.596602,901.8894,-893.356666,2016.6958,-399.521632,4509.4733
33.110220,-4001.058716,451.6068,-2000.565421,903.2298,-894.684356,2019.6930,-400.115392,4516.1752
33.208417,-4006.987664,452.2760,-2003.529842,904.5682,-896.010078,2022.6857,-400.708273,4522.8671
33.306613,-4012.907851,452.9442,-2006.489882,905.9046,-897.333843,2025.6740,-401.300278,4529.5492
33.404810,-4018.819318,453.6114,-2009.445563,907.2391,-898.655657,2028.6580,-401.891410,4536.2214
33.503006,-4024.722102,454.2777,-2012.396902,908.5716,-899.975529,2031.6375,-402.481675,4542.8838
33.601202,-4030.616241,454.9430,-2015.343919,909.9021,-901.293469,2034.6127,-403.071075,4549.5365
33.699399,-4036.501774,455.6073,-2018.286633,911.2307,-902.609485,2037.5835,-403.659614,4556.1795
33.797595,-4042.378738,456.2706,-2021.225063,912.5574,-903.923585,2040.5500,-404.247297,4562.8127
33.895792,-4048.247169,456.9330,-2024.159228,913.8821,-905.235777,2043.5122,-404.834127,4569.4364
33.993988,-4054.107107,457.5944,-2027.089145,915.2050,-906.546069,2046.4701,-405.420107,4576.0505
34.092184,-4059.958586,458.2549,-2030.014833,916.5259,-907.854471,2049.4237,-406.005241,4582.6550
34.190381,-4065.801644,458.9144,-2032.936311,917.8449,-909.160989,2052.3731,-406.589533,4589.2500
34.288577,-4071.636316,459.5730,-2035.853596,919.1620,-910.465633,2055.3182,-407.172987,4595.8355
34.386774,-4077.462640,460.2306,-2038.766707,920.4772,-911.768410,2058.2592,-407.755606,4602.4117
34.484970,-4083.280650,460.8873,-2041.675662,921.7906,-913.069328,2061.1959,-408.337394,4608.9784
34.583166,-4089.090382,461.5431,-2044.580478,923.1021,-914.368395,2064.1285,-408.918354,4615.5358
34.681363,-4094.891872,462.1979,-2047.481173,924.4117,-915.665619,2067.0569,-409.498490,4622.0839
34.779559,-4100.685154,462.8518,-2050.377764,925.7195,-916.961008,2069.9811,-410.077805,4628.6227
34.877756,-4106.470262,463.5048,-2053.270269,927.0254,-918.254570,2072.9013,-410.656302,4635.1524
34.975952,-4112.247233,464.1568,-2056.158704,928.3295,-919.546311,2075.8173,-411.233986,4641.6728
35.074148,-4118.016099,464.8080,-2059.043088,929.6317,-920.836241,2078.7292,-411.810860,4648.1841
35.172345,-4123.776895,465.4582,-2061.923437,930.9322,-922.124367,2081.6371,-412.386927,4654.6862
35.270541,-4129.529654,466.1075,-2064.799768,932.2308,-923.410695,2084.5409,-412.962190,4661.1793
35.368737,-4135.274411,466.7559,-2067.672098,933.5276,-924.695234,2087.4406,-413.536653,4667.6634
35.466934,-4141.011197,467.4035,-2070.540443,934.8227,-925.977991,2090.3364,-414.110319,4674.1385
35.565130,-4146.740048,468.0501,-2073.404820,936.1159,-927.258974,2093.2281,-414.683191,4680.6046
35.663327,-4152.460995,468.6958,-2076.265246,937.4073,-928.538190,2096.1159,-415.255273,4687.0618
35.761523,-4158.174070,469.3407,-2079.121736,938.6970,-929.815645,2098.9997,-415.826568,4693.5101
35.859719,-4163.879307,469.9846,-2081.974307,939.9849,-931.091348,2101.8795,-416.397079,4699.9495
35.957916,-4169.576738,470.6277,-2084.822975,941.2710,-932.365305,2104.7553,-416.966810,4706.3802
36.056112,-4175.266394,471.2699,-2087.667755,942.5554,-933.637524,2107.6273,-417.535763,4712.8021
36.154309,-4180.948307,471.9112,-2090.508665,943.8381,-934.908012,2110.4953,-418.103942,4719.2152
36.252505,-4186.622509,472.5517,-2093.345719,945.1190,-936.176776,2113.3595,-418.671350,4725.6196
36.350701,-4192.289031,473.1913,-2096.178934,946.3981,-937.443822,2116.2198,-419.237989,4732.0154
36.448898,-4197.947904,473.8300,-2099.008324,947.6755,-938.709158,2119.0762,-419.803865,4738.4026
36.547094,-4203.599160,474.4679,-2101.833905,948.9513,-939.972791,2121.9288,-420.368978,4744.7811
36.645291,-4209.242828,475.1049,-2104.655693,950.2253,-941.234728,2124.7775,-420.933332,4751.1511
36.743487,-4214.878939,475.7411,-2107.473703,951.4976,-942.494975,2127.6224,-421.496931,4757.5125
36.841683,-4220.507524,476.3764,-2110.287950,952.7682,-943.753539,2130.4636,-422.059778,4763.8655
36.939880,-4226.128612,477.0108,-2113.098448,954.0371,-945.010426,2133.3009,-422.621875,4770.2099
37.038076,-4231.742233,477.6444,-2115.905214,955.3043,-946.265645,2136.1345,-423.183225,4776.5460
37.136273,-4237.348418,478.2772,-2118.708261,956.5698,-947.519200,2138.9643,-423.743832,4782.8737
37.234469,-4242.947196,478.9092,-2121.507605,957.8337,-948.771099,2141.7904,-424.303697,4789.1930
37.332665,-4248.538595,479.5403,-2124.303260,959.0959,-950.021349,2144.6127,-424.862825,4795.5040
37.430862,-4254.122645,480.1706,-2127.095240,960.3564,-951.269955,2147.4314,-425.421219,4801.8066
37.529058,-4259.699375,480.8000,-2129.883561,961.6153,-952.516925,2150.2463,-425.978880,4808.1011
37.627255,-4265.268814,481.4286,-2132.668236,962.8726,-953.762264,2153.0576,-426.535812,4814.3873
37.725451,-4270.830989,482.0565,-2135.449280,964.1282,-955.005979,2155.8652,-427.092018,4820.6653
37.823647,-4276.385930,482.6835,-2138.226706,965.3821,-956.248077,2158.6692,-427.647501,4826.9351
37.921844,-4281.933665,483.3096,-2141.000530,966.6345,-957.488564,2161.4695,-428.202263,4833.1968
38.020040,-4287.474222,483.9350,-2143.770765,967.8852,-958.727445,2164.2662,-428.756307,4839.4504
38.118236,-4293.007627,484.5596,-2146.537424,969.1343,-959.964728,2167.0593,-429.309636,4845.6959
38.216433,-4298.533910,485.1833,-2149.300522,970.3818,-961.200417,2169.8488,-429.862253,4851.9334
38.314629,-4304.053097,485.8063,-2152.060073,971.6277,-962.434521,2172.6347,-430.414160,4858.1629
38.412826,-4309.565216,486.4285,-2154.816089,972.8720,-963.667044,2175.4170,-430.965361,4864.3844
38.511022,-4315.070293,487.0498,-2157.568585,974.1148,-964.897992,2178.1958,-431.515857,4870.5979
38.609218,-4320.568356,487.6704,-2160.317574,975.3559,-966.127372,2180.9711,-432.065652,4876.8036
38.707415,-4326.059432,488.2902,-2163.063070,976.5954,-967.355190,2183.7428,-432.614749,4883.0013
38.805611,-4331.543547,488.9092,-2165.805085,977.8334,-968.581452,2186.5110,-433.163149,4889.1912
38.903808,-4337.020727,489.5274,-2168.543633,979.0699,-969.806163,2189.2757,-433.710856,4895.3733
39.002004,-4342.490998,490.1449,-2171.278727,980.3047,-971.029329,2192.0369,-434.257872,4901.5476
39.100200,-4347.954388,490.7615,-2174.010380,981.5380,-972.250956,2194.7947,-434.804200,4907.7141
39.198397,-4353.410921,491.3774,-2176.738605,982.7698,-973.471050,2197.5490,-435.349842,4913.8728
39.296593,-4358.860623,491.9925,-2179.463414,984.0000,-974.689617,2200.2998,-435.894801,4920.0239
39.394790,-4364.303521,492.6069,-2182.184822,985.2287,-975.906663,2203.0472,-436.439080,4926.1673
39.492986,-4369.739638,493.2205,-2184.902840,986.4558,-977.122192,2205.7912,-436.982681,4932.3030
39.591182,-4375.169002,493.8333,-2187.617480,987.6815,-978.336212,2208.5317,-437.525607,4938.4311
39.689379,-4380.591636,494.4453,-2190.328757,988.9056,-979.548727,2211.2689,-438.067859,4944.5516
39.787575,-4386.007566,495.0566,-2193.036681,990.1282,-980.759742,2214.0027,-438.609442,4950.6645
39.885772,-4391.416816,495.6672,-2195.741266,991.3492,-981.969265,2216.7331,-439.150356,4956.7699
39.983968,-4396.819412,496.2770,-2198.442523,992.5688,-983.177299,2219.4602,-439.690605,4962.8678
40.082164,-4402.215377,496.8861,-2201.140465,993.7869,-984.383851,2222.1839,-440.230191,4968.9582
40.180361,-4407.604737,497.4944,-2203.835105,995.0035,-985.588925,2224.9043,-440.769116,4975.0412
40.278557,-4412.987514,498.1019,-2206.526454,996.2186,-986.792528,2227.6213,-441.307383,4981.1167
40.376754,-4418.363734,498.7087,-2209.214524,997.4322,-987.994665,2230.3351,-441.844995,4987.1848
40.474950,-4423.733421,499.3148,-2211.899328,998.6444,-989.195341,2233.0455,-442.381953,4993.2455
40.573146,-4429.096597,499.9202,-2214.580876,999.8551,-990.394561,2235.7527,-442.918260,4999.2989
40.671343,-4434.453287,500.5248,-2217.259182,1001.0643,-991.592331,2238.4566,-443.453919,5005.3450
40.769539,-4439.803513,501.1287,-2219.934256,1002.2721,-992.788656,2241.1572,-443.988931,5011.3838
40.867735,-4445.147301,501.7319,-2222.606111,1003.4784,-993.983541,2243.8546,-444.523300,5017.4153
40.965932,-4450.484672,502.3343,-2225.274757,1004.6832,-995.176991,2246.5487,-445.057026,5023.4396
41.064128,-4455.815649,502.9360,-2227.940207,1005.8866,-996.369012,2249.2396,-445.590114,5029.4566
41.162325,-4461.140256,503.5370,-2230.602472,1007.0886,-997.559609,2251.9273,-446.122564,5035.4665
41.260521,-4466.458516,504.1373,-2233.261563,1008.2892,-998.748786,2254.6118,-446.654380,5041.4692
41.358717,-4471.770450,504.7369,-2235.917492,1009.4883,-999.936549,2257.2931,-447.185563,5047.4648
41.456914,-4477.076082,505.3357,-2238.570270,1010.6860,-1001.122903,2259.9712,-447.716117,5053.4532
41.555110,-4482.375434,505.9339,-2241.219908,1011.8823,-1002.307852,2262.6462,-448.246042,5059.4346
41.653307,-4487.668528,506.5313,-2243.866417,1013.0771,-1003.491402,2265.3180,-448.775341,5065.4089
41.751503,-4492.955387,507.1280,-2246.509808,1014.2706,-1004.673558,2267.9866,-449.304017,5071.3761
41.849699,-4498.236031,507.7241,-2249.150093,1015.4626,-1005.854325,2270.6521,-449.832071,5077.3364
41.947896,-4503.510484,508.3194,-2251.787282,1016.6533,-1007.033707,2273.3145,-450.359507,5083.2896
42.046092,-4508.778767,508.9141,-2254.421386,1017.8426,-1008.211710,2275.9738,-450.886325,5089.2359
42.144289,-4514.040901,509.5080,-2257.052415,1019.0304,-1009.388338,2278.6299,-451.412529,5095.1753
42.242485,-4519.296908,510.1013,-2259.680382,1020.2169,-1010.563596,2281.2830,-451.938120,5101.1077
42.340681,-4524.546809,510.6938,-2262.305295,1021.4020,-1011.737488,2283.9330,-452.463100,5107.0333
42.438878,-4529.790626,511.2857,-2264.927167,1022.5858,-1012.910020,2286.5799,-452.987472,5112.9520
42.537074,-4535.028380,511.8769,-2267.546007,1023.7682,-1014.081197,2289.2238,-453.511238,5118.8638
42.635271,-4540.260091,512.4674,-2270.161826,1024.9492,-1015.251022,2291.8646,-454.034399,5124.7688
42.733467,-4545.485780,513.0572,-2272.774634,1026.1288,-1016.419501,2294.5023,-454.556958,5130.6670
42.831663,-4550.705469,513.6464,-2275.384442,1027.3071,-1017.586639,2297.1371,-455.078918,5136.5585
42.929860,-4555.919178,514.2349,-2277.991260,1028.4841,-1018.752439,2299.7688,-455.600279,5142.4432
43.028056,-4561.126926,514.8227,-2280.595098,1029.6597,-1019.916906,2302.3975,-456.121044,5148.3212
43.126253,-4566.328736,515.4098,-2283.195967,1030.8339,-1021.080046,2305.0232,-456.641216,5154.1924
43.224449,-4571.524627,515.9963,-2285.793876,1032.0068,-1022.241862,2307.6460,-457.160795,5160.0570
43.322645,-4576.714619,516.5821,-2288.388836,1033.1784,-1023.402359,2310.2657,-457.679785,5165.9150
43.420842,-4581.898732,517.1672,-2290.980857,1034.3487,-1024.561542,2312.8825,-458.198187,5171.7662
43.519038,-4587.076986,517.7517,-2293.569949,1035.5176,-1025.719415,2315.4963,-458.716003,5177.6109
43.617234,-4592.249401,518.3355,-2296.156121,1036.6853,-1026.875982,2318.1072,-459.233235,5183.4490
43.715431,-4597.415997,518.9187,-2298.739384,1037.8516,-1028.031248,2320.7151,-459.749885,5189.2806
43.813627,-4602.576793,519.5012,-2301.319746,1039.0166,-1029.185217,2323.3201,-460.265956,5195.1055
43.911824,-4607.731809,520.0831,-2303.897219,1040.1803,-1030.337893,2325.9222,-460.781448,5200.9240
44.010020,-4612.881064,520.6643,-2306.471812,1041.3427,-1031.489282,2328.5214,-461.296364,5206.7359
44.108216,-4618.024577,521.2448,-2309.043534,1042.5038,-1032.639387,2331.1177,-461.810706,5212.5414
44.206413,-4623.162368,521.8247,-2311.612394,1043.6636,-1033.788212,2333.7111,-462.324476,5218.3404
44.304609,-4628.294456,522.4040,-2314.178404,1044.8221,-1034.935762,2336.3016,-462.837676,5224.1330
44.402806,-4633.420859,522.9826,-2316.741571,1045.9793,-1036.082041,2338.8893,-463.350307,5229.9192
44.501002,-4638.541597,523.5606,-2319.301905,1047.1353,-1037.227054,2341.4741,-463.862372,5235.6989
44.599198,-4643.656688,524.1380,-2321.859416,1048.2900,-1038.370803,2344.0560,-464.373872,5241.4723
44.697395,-4648.766150,524.7147,-2324.414113,1049.4434,-1039.513295,2346.6351,-464.884809,5247.2394
44.795591,-4653.870003,525.2908,-2326.966006,1050.5955,-1040.654531,2349.2114,-465.395185,5253.0001
44.893788,-4658.968265,525.8662,-2329.515103,1051.7464,-1041.794518,2351.7848,-465.905003,5258.7545
44.991984,-4664.060954,526.4410,-2332.061413,1052.8960,-1042.933259,2354.3555,-466.414263,5264.5026
45.090180,-4669.148088,527.0152,-2334.604947,1054.0444,-1044.070758,2356.9233,-466.922967,5270.2444
45.188377,-4674.229686,527.5888,-2337.145712,1055.1915,-1045.207018,2359.4883,-467.431118,5275.9800
45.286573,-4679.305765,528.1618,-2339.683718,1056.3374,-1046.342045,2362.0506,-467.938717,5281.7094
45.384770,-4684.376344,528.7341,-2342.218974,1057.4821,-1047.475842,2364.6101,-468.445766,5287.4325
45.482966,-4689.441440,529.3058,-2344.751489,1058.6255,-1048.608413,2367.1668,-468.952267,5293.1495
45.581162,-4694.501071,529.8769,-2347.281271,1059.7676,-1049.739762,2369.7207,-469.458221,5298.8603
45.679359,-4699.555254,530.4473,-2349.808330,1060.9086,-1050.869893,2372.2719,-469.963631,5304.5650
45.777555,-4704.604008,531.0172,-2352.332674,1062.0483,-1051.998811,2374.8204,-470.468498,5310.2635
45.875752,-4709.647350,531.5865,-2354.854312,1063.1868,-1053.126517,2377.3661,-470.972823,5315.9559
45.973948,-4714.685297,532.1551,-2357.373253,1064.3240,-1054.253018,2379.9091,-471.476609,5321.6422
46.072144,-4719.717866,532.7231,-2359.889505,1065.4601,-1055.378316,2382.4494,-471.979858,5327.3225
46.170341,-4724.745075,533.2906,-2362.403077,1066.5949,-1056.502416,2384.9870,-472.482570,5332.9967
46.268537,-4729.766940,533.8574,-2364.913977,1067.7286,-1057.625321,2387.5219,-472.984748,5338.6649
46.366733,-4734.783480,534.4236,-2367.422214,1068.8610,-1058.747035,2390.0541,-473.486393,5344.3270
46.464930,-4739.794709,534.9892,-2369.927797,1069.9922,-1059.867561,2392.5836,-473.987508,5349.9832
46.563126,-4744.800646,535.5543,-2372.430733,1071.1223,-1060.986905,2395.1104,-474.488093,5355.6334
46.661323,-4749.801307,536.1187,-2374.931032,1072.2511,-1062.105069,2397.6346,-474.988151,5361.2776
46.759519,-4754.796709,536.6826,-2377.428701,1073.3788,-1063.222056,2400.1561,-475.487682,5366.9159
46.857715,-4759.786868,537.2458,-2379.923749,1074.5053,-1064.337872,2402.6750,-475.986690,5372.5483
46.955912,-4764.771801,537.8085,-2382.416183,1075.6306,-1065.452519,2405.1913,-476.485175,5378.1748
47.054108,-4769.751525,538.3705,-2384.906013,1076.7547,-1066.566001,2407.7049,-476.983139,5383.7954
47.152305,-4774.726054,538.9320,-2387.393247,1077.8777,-1067.678322,2410.2159,-477.480583,5389.4102
47.250501,-4779.695407,539.4929,-2389.877892,1078.9995,-1068.789485,2412.7243,-477.977510,5395.0191
47.348697,-4784.659598,540.0532,-2392.359956,1080.1201,-1069.899494,2415.2300,-478.473921,5400.6221
47.446894,-4789.618644,540.6130,-2394.839448,1081.2395,-1071.008353,2417.7332,-478.969818,5406.2194
47.545090,-4794.572561,541.1721,-2397.316375,1082.3578,-1072.116064,2420.2338,-479.465201,5411.8109
47.643287,-4799.521365,541.7307,-2399.790746,1083.4750,-1073.222633,2422.7318,-479.960073,5417.3966
47.741483,-4804.465071,542.2887,-2402.262568,1084.5910,-1074.328062,2425.2272,-480.454436,5422.9766
47.839679,-4809.403695,542.8461,-2404.731849,1085.7058,-1075.432354,2427.7201,-480.948290,5428.5508
47.937876,-4814.337254,543.4030,-2407.198598,1086.8195,-1076.535514,2430.2104,-481.441638,5434.1193
48.036072,-4819.265761,543.9593,-2409.662821,1087.9321,-1077.637545,2432.6982,-481.934480,5439.6821
48.134269,-4824.189234,544.5150,-2412.124527,1089.0435,-1078.738449,2435.1834,-482.426820,5445.2392
48.232465,-4829.107687,545.0702,-2414.583723,1090.1538,-1079.838231,2437.6661,-482.918657,5450.7907
48.330661,-4834.021136,545.6248,-2417.040417,1091.2630,-1080.936895,2440.1463,-483.409994,5456.3365
48.428858,-4838.929595,546.1788,-2419.494616,1092.3710,-1082.034443,2442.6239,-483.900832,5461.8767
48.527054,-4843.833081,546.7322,-2421.946329,1093.4779,-1083.130878,2445.0990,-484.391172,5467.4112
48.625251,-4848.731607,547.2852,-2424.395562,1094.5837,-1084.226205,2447.5717,-484.881017,5472.9402
48.723447,-4853.625190,547.8375,-2426.842323,1095.6884,-1085.320426,2450.0418,-485.370367,5478.4636
48.821643,-4858.513844,548.3893,-2429.286620,1096.7920,-1086.413546,2452.5094,-485.859225,5483.9814
48.919840,-4863.397584,548.9405,-2431.728461,1097.8945,-1087.505566,2454.9746,-486.347591,5489.4937
49.018036,-4868.276425,549.4912,-2434.167851,1098.9958,-1088.596491,2457.4373,-486.835467,5495.0004
49.116232,-4873.150381,550.0413,-2436.604800,1100.0961,-1089.686324,2459.8975,-487.322855,5500.5017
49.214429,-4878.019467,550.5909,-2439.039313,1101.1952,-1090.775068,2462.3553,-487.809756,5505.9974
49.312625,-4882.883698,551.1400,-2441.471399,1102.2933,-1091.862727,2464.8106,-488.296171,5511.4877
49.410822,-4887.743088,551.6885,-2443.901065,1103.3902,-1092.949303,2467.2635,-488.782102,5516.9725
49.509018,-4892.597652,552.2364,-2446.328317,1104.4861,-1094.034800,2469.7139,-489.267551,5522.4518
49.607214,-4897.447403,552.7838,-2448.753164,1105.5809,-1095.119220,2472.1620,-489.752518,5527.9257
49.705411,-4902.292357,553.3307,-2451.175612,1106.6746,-1096.202569,2474.6075,-490.237006,5533.3942
49.803607,-4907.132528,553.8770,-2453.595668,1107.7672,-1097.284847,2477.0507,-490.721015,5538.8573
49.901804,-4911.967929,554.4228,-2456.013339,1108.8588,-1098.366059,2479.4915,-491.204548,5544.3150
50.000000,-4916.798574,554.9680,-2458.428633,1109.9492,-1099.446208,2481.9299,-491.687605,5549.7674
