h2_um,E2_Pa,T_abs
43.0707,109.75,0.00020394
43.5657,109.75,0.00018665
44.0606,109.75,0.00017082
44.5556,109.75,0.00015634
45.0505,109.75,0.00014308
45.5455,109.75,0.00013095
46.0404,109.75,0.00011985
46.5354,109.75,0.00010969
47.0303,109.75,0.00010039
47.5253,109.75,0.00009187
48.0202,109.75,0.00008408
48.5152,109.75,0.00007696
49.0101,109.75,0.00007043
49.5051,109.75,0.00006446
50.0000,109.75,0.00005899
1.0000,120.45,0.67451339
1.4949,120.45,0.49611391
1.9899,120.45,0.39128121
2.4848,120.45,0.32287067
2.9798,120.45,0.27481059
3.4747,120.45,0.23916717
3.9697,120.45,0.21160448
4.4646,120.45,0.18956072
4.9596,120.45,0.17142764
5.4545,120.45,0.15614637
5.9495,120.45,0.14299345
6.4444,120.45,0.13146064
6.9394,120.45,0.12118403
7.4343,120.45,0.11190025
7.9293,120.45,0.10341823
8.4242,120.45,0.09560002
8.9192,120.45,0.08834710
9.4141,120.45,0.08159009
9.9091,120.45,0.07528069
10.4040,120.45,0.06938532
10.8990,120.45,0.06387999
11.3939,120.45,0.05874646
11.8889,120.45,0.05396940
12.3838,120.45,0.04953442
12.8788,120.45,0.04542698
13.3737,120.45,0.04163177
13.8687,120.45,0.03813259
14.3636,120.45,0.03491251
14.8586,120.45,0.03195405
15.3535,120.45,0.02923962
15.8485,120.45,0.02675173
16.3434,120.45,0.02447338
16.8384,120.45,0.02238817
17.3333,120.45,0.02048054
17.8283,120.45,0.01873586
18.3232,120.45,0.01714046
18.8182,120.45,0.01568166
19.3131,120.45,0.01434775
19.8081,120.45,0.01312800
20.3030,120.45,0.01201253
20.7980,120.45,0.01099234
21.2929,120.45,0.01005918
21.7879,120.45,0.00920556
22.2828,120.45,0.00842460
22.7778,120.45,0.00771007
23.2727,120.45,0.00705626
23.7677,120.45,0.00645797
24.2626,120.45,0.00591047
24.7576,120.45,0.00540941
25.2525,120.45,0.00495084
25.7475,120.45,0.00453116
