freq_MHz,T_fresh_h5um,T_deg_h5um,T_fresh_h15um,T_deg_h15um,T_fresh_h30um,T_deg_h30um,T_fresh_h50um,T_deg_h50um
23.269135,0.05897645,0.52207664,0.00907036,0.18700964,0.00049967,0.07698665,0.00001051,0.02316495
23.274137,0.05881497,0.52083079,0.00904449,0.18656613,0.00049809,0.07681642,0.00001047,0.02311080
23.279140,0.05865699,0.51961077,0.00901917,0.18613289,0.00049654,0.07665034,0.00001043,0.02305791
23.284142,0.05850249,0.51841633,0.00899438,0.18570983,0.00049502,0.07648837,0.00001040,0.02300627
23.289145,0.05835142,0.51724725,0.00897012,0.18529685,0.00049353,0.07633048,0.00001036,0.02295585
23.294147,0.05820374,0.51610332,0.00894639,0.18489384,0.00049207,0.07617662,0.00001033,0.02290666
23.299150,0.05805941,0.51498432,0.00892317,0.18450073,0.00049064,0.07602677,0.00001029,0.02285868
23.304152,0.05791841,0.51389005,0.00890047,0.18411743,0.00048924,0.07588090,0.00001026,0.02281191
23.309155,0.05778069,0.51282030,0.00887828,0.18374383,0.00048786,0.07573896,0.00001023,0.02276632
23.314157,0.05764623,0.51177487,0.00885659,0.18337987,0.00048652,0.07560092,0.00001019,0.02272191
23.319160,0.05751498,0.51075358,0.00883539,0.18302545,0.00048521,0.07546677,0.00001016,0.02267868
23.324162,0.05738693,0.50975624,0.00881469,0.18268050,0.00048392,0.07533647,0.00001013,0.02263661
23.329165,0.05726203,0.50878267,0.00879448,0.18234495,0.00048266,0.07520998,0.00001010,0.02259569
23.334167,0.05714025,0.50783269,0.00877475,0.18201872,0.00048142,0.07508729,0.00001007,0.02255592
23.339170,0.05702158,0.50690612,0.00875550,0.18170174,0.00048022,0.07496836,0.00001004,0.02251729
23.344172,0.05690597,0.50600281,0.00873672,0.18139393,0.00047904,0.07485318,0.00001001,0.02247978
23.349175,0.05679341,0.50512259,0.00871841,0.18109524,0.00047789,0.07474171,0.00000998,0.02244340
23.354177,0.05668387,0.50426530,0.00870057,0.18080559,0.00047676,0.07463393,0.00000996,0.02240813
23.359180,0.05657732,0.50343079,0.00868319,0.18052494,0.00047566,0.07452983,0.00000993,0.02237397
23.364182,0.05647373,0.50261892,0.00866627,0.18025320,0.00047458,0.07442938,0.00000990,0.02234091
23.369185,0.05637309,0.50182953,0.00864980,0.17999034,0.00047353,0.07433255,0.00000988,0.02230894
23.374187,0.05627537,0.50106250,0.00863378,0.17973629,0.00047251,0.07423933,0.00000985,0.02227806
23.379190,0.05618055,0.50031768,0.00861821,0.17949100,0.00047151,0.07414971,0.00000983,0.02224826
23.384192,0.05608860,0.49959495,0.00860308,0.17925441,0.00047054,0.07406365,0.00000980,0.02221953
23.389195,0.05599951,0.49889418,0.00858840,0.17902649,0.00046959,0.07398115,0.00000978,0.02219188
23.394197,0.05591326,0.49821524,0.00857415,0.17880718,0.00046866,0.07390219,0.00000976,0.02216529
23.399200,0.05582983,0.49755803,0.00856033,0.17859644,0.00046776,0.07382675,0.00000973,0.02213976
23.404202,0.05574919,0.49692243,0.00854695,0.17839422,0.00046689,0.07375482,0.00000971,0.02211528
23.409205,0.05567134,0.49630833,0.00853400,0.17820049,0.00046603,0.07368638,0.00000969,0.02209186
23.414207,0.05559625,0.49571562,0.00852147,0.17801520,0.00046520,0.07362143,0.00000967,0.02206948
23.419210,0.05552390,0.49514421,0.00850936,0.17783833,0.00046440,0.07355994,0.00000965,0.02204814
23.424212,0.05545429,0.49459400,0.00849768,0.17766982,0.00046362,0.07350191,0.00000963,0.02202784
23.429215,0.05538740,0.49406490,0.00848641,0.17750966,0.00046286,0.07344733,0.00000961,0.02200858
23.434217,0.05532322,0.49355681,0.00847556,0.17735781,0.00046212,0.07339619,0.00000959,0.02199034
23.439220,0.05526172,0.49306966,0.00846513,0.17721424,0.00046141,0.07334847,0.00000957,0.02197314
23.444222,0.05520290,0.49260336,0.00845511,0.17707892,0.00046072,0.07330418,0.00000955,0.02195696
23.449225,0.05514675,0.49215785,0.00844549,0.17695184,0.00046005,0.07326329,0.00000953,0.02194180
23.454227,0.05509325,0.49173303,0.00843629,0.17683296,0.00045941,0.07322581,0.00000952,0.02192767
23.459230,0.05504239,0.49132886,0.00842749,0.17672226,0.00045879,0.07319174,0.00000950,0.02191455
23.464232,0.05499416,0.49094525,0.00841910,0.17661973,0.00045819,0.07316105,0.00000948,0.02190245
23.469235,0.05494856,0.49058216,0.00841111,0.17652534,0.00045761,0.07313376,0.00000947,0.02189136
23.474237,0.05490558,0.49023952,0.00840352,0.17643909,0.00045706,0.07310986,0.00000945,0.02188129
23.479240,0.05486520,0.48991728,0.00839633,0.17636095,0.00045652,0.07308934,0.00000944,0.02187223
23.484242,0.05482741,0.48961539,0.00838955,0.17629092,0.00045601,0.07307220,0.00000942,0.02186418
23.489245,0.05479222,0.48933380,0.00838316,0.17622898,0.00045552,0.07305844,0.00000941,0.02185714
23.494247,0.05475962,0.48907248,0.00837716,0.17617513,0.00045506,0.07304807,0.00000939,0.02185111
23.499250,0.05472959,0.48883138,0.00837157,0.17612935,0.00045461,0.07304107,0.00000938,0.02184609
23.504252,0.05470213,0.48861048,0.00836637,0.17609165,0.00045419,0.07303746,0.00000937,0.02184208
23.509255,0.05467725,0.48840973,0.00836156,0.17606202,0.00045379,0.07303723,0.00000936,0.02183908
23.514257,0.05465493,0.48822911,0.00835715,0.17604046,0.00045341,0.07304039,0.00000934,0.02183709
23.519260,0.05463517,0.48806860,0.00835313,0.17602697,0.00045305,0.07304693,0.00000933,0.02183611
23.524262,0.05461797,0.48792818,0.00834950,0.17602155,0.00045271,0.07305687,0.00000932,0.02183614
23.529265,0.05460332,0.48780784,0.00834626,0.17602421,0.00045239,0.07307021,0.00000931,0.02183719
23.534267,0.05459123,0.48770755,0.00834342,0.17603495,0.00045210,0.07308696,0.00000930,0.02183925
23.539270,0.05458170,0.48762731,0.00834097,0.17605378,0.00045183,0.07310711,0.00000929,0.02184232
23.544272,0.05457471,0.48756711,0.00833891,0.17608071,0.00045157,0.07313069,0.00000928,0.02184641
23.549275,0.05457028,0.48752696,0.00833724,0.17611575,0.00045134,0.07315769,0.00000928,0.02185153
23.554277,0.05456841,0.48750686,0.00833596,0.17615891,0.00045113,0.07318813,0.00000927,0.02185766
23.559280,0.05456909,0.48750680,0.00833507,0.17621021,0.00045095,0.07322201,0.00000926,0.02186482
23.564282,0.05457232,0.48752681,0.00833458,0.17626967,0.00045078,0.07325935,0.00000925,0.02187300
23.569285,0.05457812,0.48756689,0.00833447,0.17633730,0.00045063,0.07330016,0.00000925,0.02188221
23.574287,0.05458648,0.48762706,0.00833476,0.17641313,0.00045051,0.07334445,0.00000924,0.02189246
23.579290,0.05459740,0.48770734,0.00833544,0.17649718,0.00045041,0.07339223,0.00000923,0.02190374
23.584292,0.05461090,0.48780776,0.00833652,0.17658946,0.00045033,0.07344352,0.00000923,0.02191607
23.589295,0.05462697,0.48792833,0.00833799,0.17669002,0.00045027,0.07349833,0.00000922,0.02192943
23.594297,0.05464563,0.48806911,0.00833985,0.17679888,0.00045023,0.07355667,0.00000922,0.02194385
23.599300,0.05466687,0.48823011,0.00834212,0.17691606,0.00045021,0.07361857,0.00000921,0.02195932
23.604302,0.05469071,0.48841138,0.00834477,0.17704161,0.00045021,0.07368404,0.00000921,0.02197585
23.609305,0.05471714,0.48861296,0.00834783,0.17717555,0.00045024,0.07375310,0.00000921,0.02199344
23.614307,0.05474619,0.48883490,0.00835128,0.17731792,0.00045029,0.07382577,0.00000920,0.02201210
23.619310,0.05477786,0.48907725,0.00835514,0.17746876,0.00045035,0.07390207,0.00000920,0.02203183
23.624312,0.05481216,0.48934006,0.00835939,0.17762811,0.00045044,0.07398202,0.00000920,0.02205264
23.629315,0.05484909,0.48962339,0.00836405,0.17779601,0.00045056,0.07406564,0.00000920,0.02207454
23.634317,0.05488867,0.48992730,0.00836912,0.17797251,0.00045069,0.07415296,0.00000920,0.02209752
23.639320,0.05493092,0.49025186,0.00837459,0.17815766,0.00045084,0.07424399,0.00000920,0.02212161
23.644322,0.05497583,0.49059714,0.00838047,0.17835150,0.00045102,0.07433877,0.00000920,0.02214680
23.649325,0.05502344,0.49096321,0.00838676,0.17855408,0.00045122,0.07443732,0.00000920,0.02217311
23.654327,0.05507374,0.49135015,0.00839346,0.17876546,0.00045144,0.07453967,0.00000920,0.02220053
23.659330,0.05512675,0.49175803,0.00840057,0.17898570,0.00045168,0.07464584,0.00000920,0.02222909
23.664332,0.05518249,0.49218696,0.00840810,0.17921484,0.00045195,0.07475586,0.00000920,0.02225878
23.669335,0.05524097,0.49263701,0.00841605,0.17945296,0.00045224,0.07486977,0.00000920,0.02228961
23.674337,0.05530221,0.49310828,0.00842442,0.17970011,0.00045255,0.07498759,0.00000920,0.02232160
23.679340,0.05536623,0.49360086,0.00843321,0.17995636,0.00045288,0.07510936,0.00000921,0.02235475
23.684342,0.05543304,0.49411487,0.00844243,0.18022178,0.00045323,0.07523511,0.00000921,0.02238907
23.689345,0.05550266,0.49465040,0.00845208,0.18049644,0.00045361,0.07536488,0.00000922,0.02242458
23.694347,0.05557511,0.49520757,0.00846216,0.18078041,0.00045401,0.07549869,0.00000922,0.02246127
23.699350,0.05565042,0.49578649,0.00847268,0.18107376,0.00045443,0.07563660,0.00000922,0.02249917
23.704352,0.05572860,0.49638728,0.00848363,0.18137657,0.00045488,0.07577863,0.00000923,0.02253828
23.709355,0.05580967,0.49701006,0.00849502,0.18168893,0.00045535,0.07592483,0.00000924,0.02257862
23.714357,0.05589365,0.49765497,0.00850686,0.18201091,0.00045584,0.07607523,0.00000924,0.02262019
23.719360,0.05598058,0.49832213,0.00851915,0.18234261,0.00045636,0.07622989,0.00000925,0.02266301
23.724362,0.05607047,0.49901168,0.00853189,0.18268410,0.00045690,0.07638883,0.00000926,0.02270709
23.729365,0.05616335,0.49972376,0.00854508,0.18303549,0.00045747,0.07655211,0.00000926,0.02275244
23.734367,0.05625924,0.50045852,0.00855873,0.18339687,0.00045806,0.07671978,0.00000927,0.02279908
23.739370,0.05635817,0.50121612,0.00857285,0.18376833,0.00045867,0.07689187,0.00000928,0.02284702
23.744372,0.05646018,0.50199670,0.00858743,0.18414998,0.00045931,0.07706844,0.00000929,0.02289627
23.749375,0.05656528,0.50280042,0.00860248,0.18454191,0.00045997,0.07724955,0.00000930,0.02294685
23.754377,0.05667350,0.50362746,0.00861801,0.18494424,0.00046066,0.07743523,0.00000931,0.02299877
23.759380,0.05678488,0.50447798,0.00863402,0.18535708,0.00046137,0.07762555,0.00000932,0.02305205
23.764382,0.05689946,0.50535215,0.00865052,0.18578053,0.00046211,0.07782056,0.00000933,0.02310670
23.769385,0.05701725,0.50625017,0.00866751,0.18621472,0.00046288,0.07802032,0.00000934,0.02316274
23.774387,0.05713830,0.50717221,0.00868499,0.18665977,0.00046367,0.07822488,0.00000935,0.02322019
23.779390,0.05726264,0.50811846,0.00870297,0.18711580,0.00046448,0.07843431,0.00000937,0.02327906
23.784392,0.05739030,0.50908912,0.00872146,0.18758294,0.00046533,0.07864866,0.00000938,0.02333937
23.789395,0.05752133,0.51008439,0.00874046,0.18806132,0.00046620,0.07886801,0.00000939,0.02340114
23.794397,0.05765576,0.51110449,0.00875998,0.18855107,0.00046709,0.07909241,0.00000941,0.02346439
23.799400,0.05779363,0.51214961,0.00878003,0.18905233,0.00046802,0.07932194,0.00000942,0.02352913
23.804402,0.05793497,0.51321998,0.00880060,0.18956526,0.00046897,0.07955666,0.00000944,0.02359540
23.809405,0.05807984,0.51431582,0.00882171,0.19008999,0.00046995,0.07979665,0.00000945,0.02366320
23.814407,0.05822828,0.51543737,0.00884336,0.19062667,0.00047096,0.08004197,0.00000947,0.02373255
23.819410,0.05838032,0.51658485,0.00886556,0.19117547,0.00047199,0.08029271,0.00000949,0.02380349
23.824412,0.05853602,0.51775851,0.00888831,0.19173654,0.00047306,0.08054894,0.00000950,0.02387603
23.829415,0.05869542,0.51895859,0.00891163,0.19231004,0.00047416,0.08081074,0.00000952,0.02395020
23.834417,0.05885856,0.52018535,0.00893552,0.19289615,0.00047528,0.08107820,0.00000954,0.02402601
23.839420,0.05902551,0.52143905,0.00895999,0.19349505,0.00047643,0.08135140,0.00000956,0.02410350
23.844422,0.05919631,0.52271995,0.00898504,0.19410690,0.00047762,0.08163042,0.00000958,0.02418269
23.849425,0.05937101,0.52402833,0.00901069,0.19473190,0.00047883,0.08191536,0.00000960,0.02426359
23.854427,0.05954967,0.52536445,0.00903694,0.19537023,0.00048008,0.08220630,0.00000962,0.02434625
23.859430,0.05973234,0.52672862,0.00906380,0.19602209,0.00048136,0.08250335,0.00000964,0.02443069
23.864432,0.05991908,0.52812112,0.00909128,0.19668767,0.00048267,0.08280659,0.00000967,0.02451693
23.869435,0.06010995,0.52954224,0.00911939,0.19736720,0.00048401,0.08311614,0.00000969,0.02460500
23.874437,0.06030502,0.53099231,0.00914814,0.19806087,0.00048539,0.08343209,0.00000971,0.02469493
23.879440,0.06050433,0.53247161,0.00917753,0.19876890,0.00048680,0.08375455,0.00000974,0.02478676
23.884442,0.06070797,0.53398049,0.00920758,0.19949152,0.00048824,0.08408363,0.00000976,0.02488052
23.889445,0.06091599,0.53551925,0.00923830,0.20022896,0.00048972,0.08441944,0.00000979,0.02497623
23.894447,0.06112846,0.53708825,0.00926970,0.20098146,0.00049123,0.08476210,0.00000981,0.02507393
23.899450,0.06134545,0.53868781,0.00930178,0.20174925,0.00049278,0.08511172,0.00000984,0.02517365
23.904452,0.06156705,0.54031829,0.00933457,0.20253260,0.00049437,0.08546843,0.00000987,0.02527543
23.909455,0.06179331,0.54198004,0.00936806,0.20333175,0.00049599,0.08583236,0.00000990,0.02537931
23.914457,0.06202432,0.54367344,0.00940228,0.20414697,0.00049765,0.08620363,0.00000992,0.02548532
23.919460,0.06226015,0.54539884,0.00943724,0.20497853,0.00049934,0.08658238,0.00000995,0.02559350
23.924462,0.06250090,0.54715664,0.00947294,0.20582672,0.00050108,0.08696874,0.00000998,0.02570388
23.929465,0.06274663,0.54894722,0.00950940,0.20669181,0.00050285,0.08736286,0.00001002,0.02581652
23.934467,0.06299744,0.55077098,0.00954664,0.20757412,0.00050466,0.08776488,0.00001005,0.02593145
23.939470,0.06325342,0.55262832,0.00958466,0.20847394,0.00050652,0.08817496,0.00001008,0.02604872
23.944472,0.06351466,0.55451966,0.00962349,0.20939158,0.00050841,0.08859324,0.00001011,0.02616836
23.949475,0.06378126,0.55644542,0.00966313,0.21032737,0.00051035,0.08901989,0.00001015,0.02629043
23.954477,0.06405330,0.55840603,0.00970360,0.21128164,0.00051233,0.08945507,0.00001018,0.02641497
23.959480,0.06433089,0.56040193,0.00974492,0.21225474,0.00051435,0.08989895,0.00001022,0.02654203
23.964482,0.06461414,0.56243358,0.00978710,0.21324700,0.00051642,0.09035171,0.00001026,0.02667166
23.969485,0.06490314,0.56450142,0.00983016,0.21425881,0.00051853,0.09081352,0.00001029,0.02680391
23.974487,0.06519802,0.56660593,0.00987411,0.21529051,0.00052069,0.09128456,0.00001033,0.02693883
23.979490,0.06549888,0.56874758,0.00991898,0.21634252,0.00052290,0.09176504,0.00001037,0.02707649
23.984492,0.06580583,0.57092686,0.00996477,0.21741520,0.00052515,0.09225514,0.00001041,0.02721692
23.989495,0.06611901,0.57314427,0.01001152,0.21850898,0.00052745,0.09275507,0.00001045,0.02736020
23.994497,0.06643853,0.57540031,0.01005924,0.21962427,0.00052980,0.09326504,0.00001050,0.02750638
23.999500,0.06676452,0.57769550,0.01010794,0.22076150,0.00053220,0.09378526,0.00001054,0.02765552
24.004502,0.06709711,0.58003037,0.01015765,0.22192112,0.00053465,0.09431595,0.00001058,0.02780769
24.009505,0.06743644,0.58240544,0.01020839,0.22310358,0.00053716,0.09485736,0.00001063,0.02796295
24.014507,0.06778264,0.58482127,0.01026018,0.22430935,0.00053972,0.09540970,0.00001068,0.02812137
24.019510,0.06813587,0.58727840,0.01031304,0.22553893,0.00054233,0.09597322,0.00001072,0.02828302
24.024512,0.06849628,0.58977742,0.01036700,0.22679280,0.00054500,0.09654819,0.00001077,0.02844798
24.029515,0.06886400,0.59231889,0.01042208,0.22807149,0.00054773,0.09713485,0.00001082,0.02861630
24.034517,0.06923921,0.59490340,0.01047831,0.22937553,0.00055052,0.09773348,0.00001087,0.02878808
24.039520,0.06962208,0.59753156,0.01053570,0.23070546,0.00055336,0.09834435,0.00001092,0.02896339
24.044522,0.07001276,0.60020396,0.01059429,0.23206186,0.00055627,0.09896776,0.00001098,0.02914231
24.049525,0.07041143,0.60292122,0.01065411,0.23344530,0.00055924,0.09960399,0.00001103,0.02932493
24.054527,0.07081828,0.60568399,0.01071518,0.23485638,0.00056227,0.10025335,0.00001109,0.02951134
24.059530,0.07123349,0.60849289,0.01077752,0.23629573,0.00056537,0.10091616,0.00001114,0.02970162
24.064532,0.07165726,0.61134858,0.01084118,0.23776398,0.00056853,0.10159275,0.00001120,0.02989586
24.069535,0.07208978,0.61425173,0.01090618,0.23926179,0.00057176,0.10228344,0.00001126,0.03009417
24.074537,0.07253127,0.61720299,0.01097255,0.24078985,0.00057507,0.10298861,0.00001132,0.03029664
24.079540,0.07298193,0.62020307,0.01104033,0.24234886,0.00057844,0.10370859,0.00001138,0.03050337
24.084542,0.07344199,0.62325265,0.01110956,0.24393955,0.00058189,0.10444377,0.00001144,0.03071448
24.089545,0.07391167,0.62635243,0.01118025,0.24556265,0.00058541,0.10519454,0.00001151,0.03093006
24.094547,0.07439122,0.62950314,0.01125247,0.24721895,0.00058901,0.10596129,0.00001158,0.03115024
24.099550,0.07488088,0.63270550,0.01132623,0.24890925,0.00059269,0.10674443,0.00001164,0.03137513
24.104552,0.07538090,0.63596024,0.01140159,0.25063437,0.00059645,0.10754440,0.00001171,0.03160486
24.109555,0.07589155,0.63926811,0.01147858,0.25239516,0.00060029,0.10836164,0.00001178,0.03183954
24.114557,0.07641309,0.64262987,0.01155724,0.25419251,0.00060422,0.10919661,0.00001185,0.03207931
24.119560,0.07694582,0.64604628,0.01163762,0.25602732,0.00060824,0.11004978,0.00001193,0.03232431
24.124562,0.07749002,0.64951811,0.01171977,0.25790054,0.00061234,0.11092165,0.00001200,0.03257467
24.129565,0.07804600,0.65304616,0.01180373,0.25981314,0.00061654,0.11181273,0.00001208,0.03283053
24.134567,0.07861407,0.65663121,0.01188956,0.26176613,0.00062083,0.11272355,0.00001216,0.03309205
24.139570,0.07919456,0.66027406,0.01197729,0.26376054,0.00062522,0.11365466,0.00001224,0.03335939
24.144572,0.07978781,0.66397552,0.01206700,0.26579745,0.00062971,0.11460661,0.00001232,0.03363270
24.149575,0.08039418,0.66773642,0.01215872,0.26787798,0.00063430,0.11558002,0.00001241,0.03391214
24.154577,0.08101401,0.67155757,0.01225252,0.27000328,0.00063900,0.11657548,0.00001250,0.03419790
24.159580,0.08164771,0.67543979,0.01234846,0.27217453,0.00064380,0.11759364,0.00001259,0.03449015
24.164582,0.08229565,0.67938393,0.01244660,0.27439297,0.00064872,0.11863515,0.00001268,0.03478908
24.169585,0.08295826,0.68339083,0.01254701,0.27665989,0.00065375,0.11970070,0.00001277,0.03509488
24.174587,0.08363595,0.68746132,0.01264974,0.27897659,0.00065890,0.12079099,0.00001286,0.03540774
24.179590,0.08432917,0.69159626,0.01275488,0.28134444,0.00066417,0.12190677,0.00001296,0.03572788
24.184592,0.08503839,0.69579649,0.01286249,0.28376488,0.00066957,0.12304879,0.00001306,0.03605551
24.189595,0.08576408,0.70006285,0.01297265,0.28623935,0.00067510,0.12421786,0.00001316,0.03639085
24.194597,0.08650674,0.70439620,0.01308544,0.28876938,0.00068076,0.12541481,0.00001327,0.03673414
24.199600,0.08726689,0.70879739,0.01320094,0.29135655,0.00068655,0.12664048,0.00001338,0.03708561
24.204602,0.08804508,0.71326725,0.01331924,0.29400248,0.00069249,0.12789577,0.00001349,0.03744552
24.209605,0.08884187,0.71780663,0.01344042,0.29670887,0.00069858,0.12918161,0.00001360,0.03781412
24.214607,0.08965785,0.72241636,0.01356458,0.29947747,0.00070482,0.13049897,0.00001372,0.03819168
24.219610,0.09049364,0.72709725,0.01369182,0.30231009,0.00071121,0.13184884,0.00001383,0.03857849
