freq_MHz,T_h4_330um_fres_10.0MHz,T_h4_165um_fres_19.9MHz,T_h4_110um_fres_29.9MHz,T_h4_82um_fres_40.1MHz,T_h4_66um_fres_49.8MHz
39.891973,0.03259861,0.03407027,0.00854420,0.03770042,0.02059699
39.916729,0.03048000,0.03219657,0.00860268,0.03566258,0.02161321
39.941485,0.02865419,0.03054332,0.00866950,0.03385217,0.02275088
39.966242,0.02706946,0.02907739,0.00874501,0.03223670,0.02403121
39.990998,0.02568541,0.02777186,0.00882959,0.03078932,0.02548058
40.015754,0.02447013,0.02660462,0.00892368,0.02948775,0.02713219
40.040510,0.02339817,0.02555746,0.00902777,0.02831340,0.02902831
40.065266,0.02244899,0.02461523,0.00914244,0.02725066,0.03122347
40.090023,0.02160592,0.02376525,0.00926830,0.02628636,0.03378899
40.114779,0.02085526,0.02299688,0.00940610,0.02540933,0.03681961
40.139535,0.02018572,0.02230110,0.00955663,0.02461004,0.04044303
40.164291,0.01958792,0.02167025,0.00972083,0.02388036,0.04483385
40.189047,0.01905402,0.02109778,0.00989974,0.02321325,0.05023336
40.213803,0.01857742,0.02057808,0.01009453,0.02260268,0.05697538
40.238560,0.01815259,0.02010634,0.01030656,0.02204337,0.06551100
40.263316,0.01777485,0.01967838,0.01053735,0.02153078,0.07639496
40.288072,0.01744022,0.01929060,0.01078866,0.02106092,0.09009291
40.312828,0.01714536,0.01893988,0.01106250,0.02063029,0.10619364
40.337584,0.01688744,0.01862351,0.01136117,0.02023586,0.12143626
40.362341,0.01666410,0.01833914,0.01168735,0.01987492,0.12844642
40.387097,0.01647334,0.01808475,0.01204412,0.01954514,0.12214172
40.411853,0.01631355,0.01785857,0.01243509,0.01924441,0.10722587
40.436609,0.01618340,0.01765910,0.01286451,0.01897093,0.09116867
40.461365,0.01608186,0.01748503,0.01333736,0.01872307,0.07741593
40.486122,0.01600818,0.01733527,0.01385957,0.01849943,0.06646333
40.510878,0.01596183,0.01720891,0.01443822,0.01829877,0.05786895
40.535634,0.01594253,0.01710519,0.01508186,0.01812000,0.05108128
40.560390,0.01595025,0.01702352,0.01580086,0.01796218,0.04564731
40.585146,0.01598517,0.01696344,0.01660797,0.01782450,0.04123066
40.609902,0.01604774,0.01692463,0.01751897,0.01770627,0.03758787
40.634659,0.01613863,0.01690693,0.01855366,0.01760691,0.03454273
40.659415,0.01625882,0.01691028,0.01973720,0.01752594,0.03196636
40.684171,0.01640954,0.01693478,0.02110199,0.01746297,0.02976321
40.708927,0.01659236,0.01698063,0.02269047,0.01741773,0.02786130
40.733683,0.01680921,0.01704820,0.02455917,0.01739002,0.02620568
40.758440,0.01706245,0.01713799,0.02678493,0.01737972,0.02475376
40.783196,0.01735487,0.01725066,0.02947456,0.01738681,0.02347208
40.807952,0.01768987,0.01738701,0.03278022,0.01741135,0.02233409
40.832708,0.01807145,0.01754805,0.03692458,0.01745350,0.02131842
40.857464,0.01850443,0.01773497,0.04224242,0.01751349,0.02040775
40.882221,0.01899456,0.01794918,0.04924892,0.01759166,0.01958786
