freq_MHz,h2_opt_um,h2_opt_over_lambda,T_max,T_at_1um,T_at_5um,T_at_20um,T_at_50um
28.705411,0.1000,0.001914,0.89983236,0.14867669,0.03064946,0.00131669,0.00000212
28.863727,0.1000,0.001924,0.89441933,0.15850689,0.03288104,0.00140344,0.00000222
29.022044,0.1000,0.001935,0.89079921,0.17655867,0.03697543,0.00156887,0.00000243
29.180361,0.1000,0.001945,0.88817519,0.20764726,0.04418638,0.00186573,0.00000284
29.338677,0.1000,0.001956,0.88565737,0.26284008,0.05771875,0.00243089,0.00000364
29.496994,0.1000,0.001966,0.88237843,0.37064672,0.08822271,0.00372934,0.00000549
29.655311,0.1000,0.001977,0.87763098,0.59996785,0.19846198,0.00864214,0.00001250
29.813627,0.1000,0.001988,0.87099672,0.74817675,0.31586103,0.01174668,0.00001669
29.971944,0.1000,0.001998,0.86242792,0.46472083,0.10583658,0.00407724,0.00000569
30.130261,0.1000,0.002009,0.85225109,0.30033961,0.06244792,0.00242206,0.00000332
30.288577,0.1000,0.002019,0.84109030,0.22141542,0.04509426,0.00174629,0.00000236
30.446894,0.1000,0.002030,0.82973772,0.17852672,0.03615247,0.00139392,0.00000185
30.605210,0.1000,0.002040,0.81901253,0.15328921,0.03100927,0.00118894,0.00000155
30.763527,0.1000,0.002051,0.80964295,0.13812407,0.02796567,0.00106559,0.00000136
30.921844,0.1000,0.002061,0.80218696,0.12955768,0.02628169,0.00099490,0.00000125
31.080160,0.1000,0.002072,0.79699003,0.12596715,0.02562376,0.00096354,0.00000119
31.238477,0.1000,0.002083,0.79416885,0.12675548,0.02587886,0.00096666,0.00000118
31.396794,0.1000,0.002093,0.79361060,0.13209273,0.02710184,0.00100575,0.00000120
31.555110,0.1000,0.002104,0.79498229,0.14299784,0.02954363,0.00108954,0.00000128
31.713427,0.1000,0.002114,0.79775213,0.16183514,0.03378958,0.00123909,0.00000143
31.871743,0.1000,0.002125,0.80123112,0.19371100,0.04117460,0.00150305,0.00000171
32.030060,0.1000,0.002135,0.80464362,0.25048095,0.05519364,0.00201062,0.00000225
32.188377,0.1000,0.002146,0.80723019,0.36334690,0.08819182,0.00322846,0.00000355
32.346693,0.1000,0.002156,0.80837147,0.60190718,0.22502335,0.00852367,0.00000922
32.505010,0.1000,0.002167,0.80770560,0.67394855,0.23521127,0.00760829,0.00000809
32.663327,0.1000,0.002178,0.80520321,0.40806756,0.08953956,0.00299866,0.00000314
32.821643,0.1000,0.002188,0.80117298,0.27056017,0.05542332,0.00186517,0.00000192
32.979960,0.1000,0.002199,0.79619568,0.20365283,0.04106591,0.00137919,0.00000140
33.138277,0.1000,0.002209,0.79101045,0.16688983,0.03352095,0.00112079,0.00000112
33.296593,0.1000,0.002220,0.78638935,0.14525623,0.02917096,0.00096995,0.00000095
33.454910,0.1000,0.002230,0.78303030,0.13247268,0.02664159,0.00088046,0.00000085
33.613226,0.1000,0.002241,0.78148213,0.12565196,0.02532917,0.00083177,0.00000079
33.771543,0.1000,0.002251,0.78210068,0.12348262,0.02496989,0.00081467,0.00000076
33.929860,0.1000,0.002262,0.78502698,0.12556959,0.02549507,0.00082642,0.00000076
34.088176,0.1000,0.002273,0.79017881,0.13225605,0.02699769,0.00086959,0.00000078
34.246493,0.1000,0.002283,0.79725191,0.14476931,0.02977614,0.00095330,0.00000085
34.404810,0.1000,0.002294,0.80573443,0.16581453,0.03449893,0.00109847,0.00000096
34.563126,0.1000,0.002304,0.81494370,0.20120181,0.04269317,0.00135346,0.00000116
34.721443,0.1000,0.002315,0.82409593,0.26454426,0.05844446,0.00184933,0.00000156
34.879760,0.1000,0.002325,0.83241257,0.39198879,0.09688235,0.00308192,0.00000256
35.038076,0.1000,0.002336,0.83925202,0.65373504,0.27194035,0.00890211,0.00000729
35.196393,0.1000,0.002346,0.84423696,0.66862434,0.20547021,0.00584280,0.00000471
35.354709,0.1000,0.002357,0.84733834,0.40593397,0.08695778,0.00254273,0.00000202
35.513026,0.1000,0.002368,0.84888633,0.27574075,0.05584931,0.00163856,0.00000128
35.671343,0.1000,0.002378,0.84950480,0.21147512,0.04228606,0.00123760,0.00000095
35.829659,0.1000,0.002389,0.84999388,0.17597429,0.03508841,0.00102229,0.00000077
35.987976,0.1000,0.002399,0.85119815,0.15526925,0.03097401,0.00089747,0.00000067
36.146293,0.1000,0.002410,0.85389177,0.14345242,0.02867063,0.00082578,0.00000060
36.304609,0.1000,0.002420,0.85869497,0.13782914,0.02762316,0.00079067,0.00000057
36.462926,0.1000,0.002431,0.86602096,0.13725460,0.02760713,0.00078523,0.00000056
36.621242,0.1000,0.002441,0.87604417,0.14154994,0.02860350,0.00080847,0.00000056
36.779559,0.1000,0.002452,0.88868176,0.15140457,0.03078541,0.00086481,0.00000059
36.937876,0.1000,0.002463,0.90358635,0.16866981,0.03460102,0.00096636,0.00000065
37.096192,0.1000,0.002473,0.92015680,0.19729746,0.04103792,0.00114019,0.00000076
37.254509,0.1000,0.002484,0.93758073,0.24590114,0.05242864,0.00145092,0.00000095
37.412826,0.1000,0.002494,0.95492301,0.33531539,0.07549295,0.00208702,0.00000135
37.571142,0.1000,0.002505,0.97126423,0.52054215,0.13903081,0.00387330,0.00000246
37.729459,0.1000,0.002515,0.98587132,0.82514453,0.43455747,0.01157937,0.00000725
37.887776,0.1000,0.002526,0.99835798,0.65731119,0.16418834,0.00416470,0.00000257
38.046092,0.1000,0.002536,1.00878289,0.41292946,0.08554070,0.00219990,0.00000134
38.204409,0.1000,0.002547,1.01765037,0.29644507,0.05932707,0.00152634,0.00000091
38.362725,0.1000,0.002558,1.02581496,0.23658602,0.04696011,0.00120410,0.00000071
38.521042,0.1000,0.002568,1.03432641,0.20311868,0.04026727,0.00102747,0.00000060
