freq_MHz,T_t0,T_t1,T_t2,T_t3,T_t4,T_t5
22.143429,0.01043402,0.10042130,0.22729592,0.36680492,0.52275498,0.70267812
22.147432,0.01057409,0.10178943,0.23034392,0.37144262,0.52875312,0.70966952
22.151434,0.01071798,0.10319311,0.23346744,0.37618498,0.53486715,0.71676608
22.155437,0.01086582,0.10463344,0.23666854,0.38103426,0.54109861,0.72396780
22.159440,0.01101774,0.10611152,0.23994926,0.38599269,0.54744893,0.73127452
22.163442,0.01117390,0.10762848,0.24331168,0.39106247,0.55391942,0.73868587
22.167445,0.01133443,0.10918548,0.24675786,0.39624575,0.56051121,0.74620125
22.171448,0.01149951,0.11078366,0.25028988,0.40154457,0.56722530,0.75381982
22.175450,0.01166927,0.11242423,0.25390979,0.40696092,0.57406250,0.76154049
22.179453,0.01184389,0.11410834,0.25761958,0.41249665,0.58102336,0.76936186
22.183456,0.01202355,0.11583721,0.26142124,0.41815348,0.58810823,0.77728224
22.187458,0.01220840,0.11761201,0.26531666,0.42393295,0.59531715,0.78529959
22.191461,0.01239863,0.11943391,0.26930766,0.42983643,0.60264986,0.79341149
22.195464,0.01259443,0.12130408,0.27339594,0.43586503,0.61010576,0.80161516
22.199466,0.01279597,0.12322362,0.27758307,0.44201959,0.61768384,0.80990737
22.203469,0.01300347,0.12519364,0.28187045,0.44830065,0.62538267,0.81828446
22.207472,0.01321709,0.12721515,0.28625928,0.45470838,0.63320034,0.82674226
22.211474,0.01343706,0.12928912,0.29075052,0.46124254,0.64113442,0.83527609
22.215477,0.01366355,0.13141640,0.29534484,0.46790242,0.64918188,0.84388075
22.219480,0.01389677,0.13359776,0.30004259,0.47468677,0.65733908,0.85255041
22.223482,0.01413692,0.13583381,0.30484372,0.48159374,0.66560168,0.86127865
22.227485,0.01438419,0.13812503,0.30974771,0.48862082,0.67396457,0.87005842
22.231488,0.01463877,0.14047167,0.31475357,0.49576473,0.68242184,0.87888194
22.235490,0.01490085,0.14287378,0.31985967,0.50302136,0.69096669,0.88774076
22.239493,0.01517058,0.14533112,0.32506374,0.51038565,0.69959137,0.89662566
22.243496,0.01544814,0.14784318,0.33036273,0.51785156,0.70828713,0.90552668
22.247498,0.01573366,0.15040905,0.33575273,0.52541187,0.71704411,0.91443302
22.251501,0.01602726,0.15302743,0.34122888,0.53305818,0.72585131,0.92333310
22.255504,0.01632903,0.15569656,0.34678526,0.54078074,0.73469652,0.93221450
22.259506,0.01663903,0.15841413,0.35241475,0.54856834,0.74356626,0.94106394
22.263509,0.01695729,0.16117723,0.35810894,0.55640827,0.75244571,0.94986730
22.267512,0.01728376,0.16398231,0.36385802,0.56428613,0.76131870,0.95860959
22.271514,0.01761837,0.16682504,0.36965063,0.57218582,0.77016761,0.96727500
22.275517,0.01796096,0.16970030,0.37547377,0.58008940,0.77897342,0.97584687
22.279520,0.01831130,0.17260203,0.38131270,0.58797703,0.78771565,0.98430775
22.283522,0.01866907,0.17552323,0.38715082,0.59582696,0.79637237,0.99263942
22.287525,0.01903384,0.17845585,0.39296962,0.60361545,0.80492025,1.00082294
22.291528,0.01940506,0.18139071,0.39874864,0.61131678,0.81333458,1.00883872
22.295530,0.01978206,0.18431747,0.40446541,0.61890333,0.82158937,1.01666658
22.299533,0.02016401,0.18722460,0.41009553,0.62634562,0.82965744,1.02428583
22.303536,0.02054991,0.19009934,0.41561268,0.63361243,0.83751051,1.03167538
22.307538,0.02093858,0.19292773,0.42098879,0.64067099,0.84511944,1.03881387
22.311541,0.02132864,0.19569464,0.42619420,0.64748722,0.85245436,1.04567975
22.315544,0.02171851,0.19838385,0.43119791,0.65402598,0.85948491,1.05225144
22.319546,0.02210638,0.20097819,0.43596791,0.66025141,0.86618050,1.05850748
22.323549,0.02249020,0.20345971,0.44047157,0.66612740,0.87251059,1.06442670
22.327552,0.02286772,0.20580986,0.44467608,0.67161794,0.87844501,1.06998835
22.331554,0.02323643,0.20800983,0.44854903,0.67668768,0.88395428,1.07517230
22.335557,0.02359365,0.21004079,0.45205892,0.68130247,0.88900995,1.07995922
22.339560,0.02393648,0.21188432,0.45517581,0.68542987,0.89358498,1.08433074
22.343562,0.02426191,0.21352276,0.45787193,0.68903977,0.89765411,1.08826964
22.347565,0.02456681,0.21493962,0.46012235,0.69210489,0.90119417,1.09176002
22.351568,0.02484800,0.21612002,0.46190550,0.69460138,0.90418446,1.09478745
22.355570,0.02510236,0.21705109,0.46320379,0.69650924,0.90660705,1.09733916
22.359573,0.02532685,0.21772228,0.46400401,0.69781279,0.90844706,1.09940415
22.363576,0.02551863,0.21812574,0.46429771,0.69850101,0.90969292,1.10097332
22.367578,0.02567517,0.21825654,0.46408145,0.69856773,0.91033652,1.10203957
22.371581,0.02579428,0.21811280,0.46335684,0.69801183,0.91037340,1.10259792
22.375584,0.02587423,0.21769579,0.46213057,0.69683727,0.90980279,1.10264551
22.379586,0.02591380,0.21700984,0.46041416,0.69505293,0.90862763,1.10218167
22.383589,0.02591232,0.21606229,0.45822373,0.69267251,0.90685453,1.10120795
22.387592,0.02586971,0.21486316,0.45557950,0.68971417,0.90449366,1.09972804
22.391594,0.02578649,0.21342497,0.45250534,0.68620017,0.90155858,1.09774779
22.395597,0.02566373,0.21176228,0.44902815,0.68215639,0.89806602,1.09527511
22.399600,0.02550306,0.20989137,0.44517726,0.67761186,0.89403563,1.09231988
22.403602,0.02530655,0.20782978,0.44098382,0.67259817,0.88948965,1.08889386
22.407605,0.02507667,0.20559592,0.43648013,0.66714891,0.88445261,1.08501053
22.411608,0.02481622,0.20320868,0.43169906,0.66129913,0.87895096,1.08068496
22.415610,0.02452819,0.20068702,0.42667353,0.65508474,0.87301271,1.07593367
22.419613,0.02421574,0.19804967,0.42143599,0.64854206,0.86666710,1.07077443
22.423616,0.02388205,0.19531485,0.41601800,0.64170729,0.85994420,1.06522609
22.427618,0.02353032,0.19250002,0.41044991,0.63461610,0.85287458,1.05930841
22.431621,0.02316362,0.18962170,0.40476054,0.62730327,0.84548901,1.05304190
22.435624,0.02278491,0.18669535,0.39897700,0.61980236,0.83781814,1.04644761
22.439626,0.02239697,0.18373524,0.39312452,0.61214546,0.82989224,1.03954697
22.443629,0.02200237,0.18075447,0.38722638,0.60436299,0.82174095,1.03236163
22.447632,0.02160347,0.17776487,0.38130388,0.59648357,0.81339310,1.02491330
22.451634,0.02120237,0.17477706,0.37537630,0.58853389,0.80487649,1.01722362
22.455637,0.02080097,0.17180049,0.36946098,0.58053867,0.79621778,1.00931399
22.459640,0.02040093,0.16884346,0.36357338,0.57252067,0.78744237,1.00120550
22.463642,0.02000368,0.16591320,0.35772716,0.56450064,0.77857430,0.99291877
22.467645,0.01961045,0.16301594,0.35193426,0.55649742,0.76963621,0.98447391
22.471648,0.01922230,0.16015699,0.34620504,0.54852798,0.76064928,0.97589038
22.475650,0.01884010,0.15734080,0.34054842,0.54060749,0.75163326,0.96718697
22.479653,0.01846455,0.15457106,0.33497194,0.53274942,0.74260641,0.95838173
